Okeanos	Oceanus	noun
Ona haber ileteyim mi?	Can I take a message for him / her?	phrase
Ondan naber?	How's he doing?	phrase
Oraya nasıl gidilir?	How do I get there?	phrase
Orfe	Orpheus	noun
Osmanlı İmparatorluğu	Ottoman Empire	noun
Oğlak Dönencesi	Tropic of Capricorn	noun
Pantekost	Pentecost	noun
Pantekot	Pentecost	noun
Pantkot	Pentecost	noun
Pardon!	Excuse me!	phrase
Pardon!	Sorry!	phrase
Paskalya	Easter	noun
Pensilvanya	Pennsylvania	noun
Pentekost	Pentecost	noun
Perde Açılıyor	All About Eve [Joseph L. Mankiewicz]	phrase
Petri kabı	Petri dish	noun
Polonya	Poland	noun
Portekiz	Portugal <.pt>	noun
Portekizli	Portuguese	adj
Prag Baharı	Prague Spring	noun
Prometheus	Prometheus	noun
Puglia	Apulia	noun
Putinizm	Putinism	noun
Ramazan	Ramadan	noun
Rica ederim!	Please!	phrase
Richard incir kuşu [Anthus richardi]	Richard's pipit	noun
Roma Tatili	Roman Holiday [William Wyler]	phrase
Rusya	Russia <.ru>	noun
Rusça	Russian	noun
Saat kaç?	What time is it?	phrase
Sahilde Kafka	Kafka on the Shore	phrase
Sana da.	The same to you.	phrase
Sanmıyorum.	I don't think so.	phrase
Sargasso Denizi	Sargasso Sea	noun
Sağol!	Thank you!	phrase
Sağolun!	Thank you!	phrase
Semele	Semele	noun
Sen ne düşünüyorsun?	What do you think?	phrase
Sibirya kazı	red-breasted goose	noun
Siktir git!	Fuck off! [vulg.]	phrase
Siyonizm	Zionism	noun
Sizin ... var mı?	Do you have ... ?	phrase
Sizin fikriniz nedir?	What is your opinion?	phrase
Sizin için ne yapabilirim?	What can I do for you?	phrase
Sorun değil!	No problem! <np>	phrase
Sıra bende.	It's my turn.	phrase
Sıra sende.	It's your turn.	phrase
Tanıştırabilir miyim, ...	May I introduce ...	phrase
Tanıştığımıza memnun oldum.	Nice to meet you.	phrase
Tapınak şövalyeleri	Knights Templar	noun
Tatar	Tatar	noun
Teksas	Texas	noun
Teşekkürler!	Thank you!	phrase
Teşekkürler!	Thanks!	phrase
Toros göknarı	Cilician fir	noun
Tunus	Tunisia	noun
Türkiye	Turkey <TR>	noun
Türkmen	Turkmen	noun
Türkçe	Turkish	noun
Umbria	Umbria	noun
Uygur	Uyghur	noun
Uzatma!	Cut it short! [coll.]	phrase
Yalta Konferansı [1945]	Yalta Conference	noun
Yapma!	Drop it!	phrase
Yedinci Mühür	The Seventh Seal	phrase
Yengeç Dönencesi	Tropic of Cancer	noun
